name,serving_size,calories,protein,carbohydrate,total_fat
"Taro shoots, raw",100 g,11,0.92 g,2.32 g,0.1g
"Sugars, powdered",100 g,389,0.00 g,99.77 g,0g
"Emu, raw, ground",100 g,134,22.77 g,0.00 g,4g
"Cookies, fortune",100 g,378,4.20 g,84.00 g,2.7g
"Fish, raw, cisco",100 g,98,18.99 g,0.00 g,1.9g
"Couscous, cooked",100 g,112,3.79 g,23.22 g,0.2g
"Dill weed, fresh",100 g,43,3.46 g,7.02 g,1.1g
"Spearmint, dried",100 g,285,19.93 g,52.04 g,6g
"Spearmint, fresh",100 g,44,3.29 g,8.41 g,0.7g
Tamales (Navajo),100 g,153,6.28 g,18.12 g,6.1g
"Rice bran, crude",100 g,316,13.35 g,49.69 g,21g
"Rye flour, light",100 g,357,9.82 g,76.68 g,1.3g
"Spices, bay leaf",100 g,313,7.61 g,74.97 g,8.4g
"Spices, cardamom",100 g,311,10.76 g,68.47 g,6.7g
"Lemon juice, raw",100 g,22,0.35 g,6.90 g,0.2g
"Ginger root, raw",100 g,80,1.82 g,17.77 g,0.8g
"Fish oil, salmon",100 g,902,0.00 g,0.00 g,100g
"Fish, tuna salad",100 g,187,16.04 g,9.41 g,9.3g
"Orange peel, raw",100 g,97,1.50 g,25.00 g,0.2g
"Blueberries, raw",100 g,57,0.74 g,14.49 g,0.3g
"Cheese, muenster",100 g,368,23.41 g,1.12 g,30g
"Beet greens, raw",100 g,22,2.20 g,4.33 g,0.1g
"Cheese, cheshire",100 g,387,23.37 g,4.78 g,31g
"Bagels, oat bran",100 g,255,10.70 g,53.30 g,1.2g
"Fat, beef tallow",100 g,902,0.00 g,0.00 g,100g
"Clementines, raw",100 g,47,0.85 g,12.02 g,0.2g
"Peas, raw, green",100 g,81,5.42 g,14.45 g,0.4g
"Oat bran, cooked",100 g,40,3.21 g,11.44 g,0.9g
"Pears, bosc, raw",100 g,67,0.36 g,16.10 g,0.1g
"Sugar, turbinado",100 g,399,0.00 g,99.80 g,0g
"Headcheese, pork",100 g,157,13.83 g,0.00 g,11g
Ham salad spread,100 g,216,8.68 g,10.64 g,16g
"Olive loaf, pork",100 g,235,11.80 g,9.20 g,17g
"Pastrami, turkey",100 g,139,16.30 g,3.34 g,6.2g
"Cranberries, raw",100 g,46,0.46 g,11.97 g,0.1g
"POPEYES, biscuit",100 g,401,6.00 g,40.95 g,24g
"Egg, dried, yolk",100 g,669,33.63 g,0.66 g,59g
"Quinoa, uncooked",100 g,368,14.12 g,64.16 g,6.1g
"Emu, raw, oyster",100 g,141,22.81 g,0.00 g,4.9g
"Rose-apples, raw",100 g,25,0.60 g,5.70 g,0.3g
"Cheese, monterey",100 g,373,24.48 g,0.68 g,30g
"Fish, raw, scup",100 g,105,18.88 g,0.00 g,2.7g
"Cheese, cheddar",100 g,404,22.87 g,3.09 g,33g
"Cheese, caraway",100 g,376,25.18 g,3.06 g,29g
"Oil, wheat germ",100 g,884,0.00 g,0.00 g,100g
"Bread, oat bran",100 g,236,10.40 g,39.80 g,4.4g
"Watermelon, raw",100 g,30,0.61 g,7.55 g,0.2g
Potato pancakes,100 g,268,6.08 g,27.81 g,15g
Spinach souffle,100 g,172,7.89 g,5.90 g,13g
"Bacon, meatless",100 g,309,11.69 g,5.31 g,30g
"Rosemary, fresh",100 g,131,3.31 g,20.70 g,5.9g
"Syrups, sorghum",100 g,290,0.00 g,74.90 g,0g
"Rye flour, dark",100 g,325,15.91 g,68.63 g,2.2g
"Oil, tomatoseed",100 g,884,0.00 g,0.00 g,100g
"Croutons, plain",100 g,407,11.90 g,73.50 g,6.6g
"Lemon peel, raw",100 g,47,1.50 g,16.00 g,0.3g
"Spices, paprika",100 g,282,14.14 g,53.99 g,13g
"Nectarines, raw",100 g,44,1.06 g,10.55 g,0.3g
"Mulberries, raw",100 g,43,1.44 g,9.80 g,0.4g
"Lotus root, raw",100 g,74,2.60 g,17.23 g,0.1g
"Sauce, barbecue",100 g,172,0.82 g,40.77 g,0.6g
"Fish, raw, spot",100 g,123,18.51 g,0.00 g,4.9g
"Crabapples, raw",100 g,76,0.40 g,19.95 g,0.3g
"Breadfruit, raw",100 g,103,1.07 g,27.12 g,0.2g
Arrowroot flour,100 g,357,0.30 g,88.15 g,0.1g
"Pimento, canned",100 g,23,1.10 g,5.10 g,0.3g
"Tomatillos, raw",100 g,32,0.96 g,5.84 g,1g
"Raisins, seeded",100 g,296,2.52 g,78.47 g,0.5g
"Bologna, turkey",100 g,209,11.42 g,4.68 g,16g
Vanilla extract,100 g,288,0.06 g,12.65 g,0.1g
"Fish, raw, carp",100 g,127,17.83 g,0.00 g,5.6g
"Wheat, sprouted",100 g,198,7.49 g,42.53 g,1.3g
"Fish, raw, cusk",100 g,87,18.99 g,0.00 g,0.7g
"Watercress, raw",100 g,11,2.30 g,1.29 g,0.1g
"Fish, raw, ling",100 g,87,18.99 g,0.00 g,0.6g
"Bread, cinnamon",100 g,253,7.05 g,44.38 g,5.3g
"Spices, saffron",100 g,310,11.43 g,65.37 g,5.9g
"Lime juice, raw",100 g,25,0.42 g,8.42 g,0.1g
"Spelt, uncooked",100 g,338,14.57 g,70.19 g,2.4g
"Cabbage, kimchi",100 g,15,1.10 g,2.40 g,0.5g
"Seeds, flaxseed",100 g,534,18.29 g,28.88 g,42g
"Cheese, gruyere",100 g,413,29.81 g,0.36 g,32g
"Cheese, gjetost",100 g,466,9.65 g,42.65 g,30g
"Cheese, fontina",100 g,389,25.60 g,1.55 g,31g
"Butter, salted",100 g,717,0.85 g,0.06 g,81g
"Oil, rice bran",100 g,884,0.00 g,0.00 g,100g
"Crackers, milk",100 g,446,7.60 g,71.73 g,14g
"Dates, medjool",100 g,277,1.81 g,74.97 g,0.2g
"Arrowroot, raw",100 g,65,4.24 g,13.39 g,0.2g
"Bread, oatmeal",100 g,269,8.40 g,48.50 g,4.4g
"Bread, italian",100 g,271,8.80 g,50.10 g,3.5g
"Tamarinds, raw",100 g,239,2.80 g,62.50 g,0.6g
"Millet, puffed",100 g,354,13.00 g,80.00 g,3.4g
"Vinegar, cider",100 g,21,0.00 g,0.93 g,0g
"Scrapple, pork",100 g,213,8.06 g,14.06 g,14g
"Oil, poppyseed",100 g,884,0.00 g,0.00 g,100g
"Oil, grapeseed",100 g,884,0.00 g,0.00 g,100g
"Longans, dried",100 g,286,4.90 g,74.00 g,0.4g
"Pectin, liquid",100 g,11,0.00 g,2.10 g,0g
"Pretzels, soft",100 g,338,8.20 g,69.39 g,3.1g
"Quinoa, cooked",100 g,120,4.40 g,21.30 g,1.9g
"Plantains, raw",100 g,122,1.30 g,31.89 g,0.4g
"Parsley, fresh",100 g,36,2.97 g,6.33 g,0.8g
"Barley, hulled",100 g,354,12.48 g,73.48 g,2.3g
"Cheese, romano",100 g,387,31.80 g,3.63 g,27g
Dulce de Leche,100 g,315,6.84 g,55.35 g,7.4g
"Radicchio, raw",100 g,23,1.43 g,4.48 g,0.3g
"Bulgur, cooked",100 g,83,3.08 g,18.58 g,0.2g
"Tempeh, cooked",100 g,195,19.91 g,7.62 g,11g
Chicken spread,100 g,158,18.01 g,4.05 g,18g
"Millet, cooked",100 g,119,3.51 g,23.67 g,1g
"Capers, canned",100 g,23,2.36 g,4.89 g,0.9g
"Sapodilla, raw",100 g,83,0.44 g,19.96 g,1.1g
"Wild rice, raw",100 g,357,14.73 g,74.90 g,1.1g
"Arrowhead, raw",100 g,99,5.33 g,20.23 g,0.3g
"Frog legs, raw",100 g,73,16.40 g,0.00 g,0.3g
"Jackfruit, raw",100 g,95,1.72 g,23.25 g,0.6g
"Litchis, dried",100 g,277,3.80 g,70.70 g,1.2g
"Rutabagas, raw",100 g,37,1.08 g,8.62 g,0.2g
"Cornsalad, raw",100 g,21,2.00 g,3.60 g,0.4g
"Strudel, apple",100 g,274,3.30 g,41.10 g,11g
"Oil, cupu assu",100 g,884,0.00 g,0.00 g,100g
"Cherimoya, raw",100 g,75,1.57 g,17.71 g,0.7g
"Cheese, tilsit",100 g,340,24.41 g,1.88 g,26g
"Asparagus, raw",100 g,20,2.20 g,3.88 g,0.1g
"Apricots, raw",100 g,48,1.40 g,11.12 g,0.4g
"Broccoli, raw",100 g,34,2.82 g,6.64 g,0.4g
"Cheese, brick",100 g,371,23.24 g,2.79 g,30g
"Sugars, brown",100 g,380,0.12 g,98.09 g,0g
Candied fruit,100 g,322,0.34 g,82.74 g,0.1g
"Bologna, beef",100 g,299,10.91 g,4.29 g,26g
Blood sausage,100 g,379,14.60 g,1.29 g,35g
"Nuts, almonds",100 g,579,21.15 g,21.55 g,50g
"Shallots, raw",100 g,72,2.50 g,16.80 g,0.1g
"Couscous, dry",100 g,376,12.76 g,77.43 g,0.6g
"Candies, hard",100 g,394,0.00 g,98.00 g,0.2g
Meat extender,100 g,311,41.71 g,34.71 g,3g
"Syrups, maple",100 g,260,0.04 g,67.04 g,0.1g
Sorghum grain,100 g,329,10.62 g,72.09 g,3.5g
"Oil, hazelnut",100 g,884,0.00 g,0.00 g,100g
"Pepeao, dried",100 g,298,4.82 g,81.03 g,0.4g
"Purslane, raw",100 g,20,2.03 g,3.39 g,0.4g
"Radishes, raw",100 g,16,0.68 g,3.40 g,0.1g
"Rolls, french",100 g,277,8.60 g,50.20 g,4.3g
"Bagels, wheat",100 g,250,10.20 g,48.89 g,1.5g
"KFC, Coleslaw",100 g,144,0.91 g,15.65 g,8.6g
"Parsnips, raw",100 g,75,1.20 g,17.99 g,0.3g
"Sugars, maple",100 g,354,0.10 g,90.90 g,0.2g
"Collards, raw",100 g,32,3.02 g,5.42 g,0.6g
Rice crackers,100 g,416,10.00 g,82.64 g,5g
"Cheese, colby",100 g,394,23.76 g,2.57 g,32g
"Cheese, cream",100 g,350,6.15 g,5.52 g,34g
"Bologna, pork",100 g,247,15.30 g,0.73 g,20g
"Celeriac, raw",100 g,42,1.50 g,9.20 g,0.3g
"Kumquats, raw",100 g,71,1.88 g,15.90 g,0.9g
"Oat bran, raw",100 g,246,17.30 g,66.22 g,7g
"Spelt, cooked",100 g,127,5.50 g,26.44 g,0.9g
"Bread, cheese",100 g,408,10.42 g,44.83 g,21g
"Bread, potato",100 g,266,12.50 g,47.07 g,3.1g
"Kohlrabi, raw",100 g,27,1.70 g,6.20 g,0.1g
"Cheese, swiss",100 g,393,26.96 g,1.44 g,31g
"Cheese, gouda",100 g,356,24.94 g,2.22 g,27g
Tomato powder,100 g,302,12.91 g,74.68 g,0.4g
"Cheese, blue",100 g,353,21.40 g,2.34 g,29g
"Cheese, brie",100 g,334,20.75 g,0.45 g,28g
"Celtuce, raw",100 g,18,0.85 g,3.65 g,0.3g
"Thyme, fresh",100 g,101,5.56 g,24.45 g,1.7g
"Basil, fresh",100 g,23,3.15 g,2.65 g,0.6g
"Rhubarb, raw",100 g,21,0.90 g,4.54 g,0.2g
"Nopales, raw",100 g,16,1.32 g,3.33 g,0.1g
"Syrups, malt",100 g,318,6.20 g,71.30 g,0g
"Oil, teaseed",100 g,884,0.00 g,0.00 g,100g
"Oil, sheanut",100 g,884,0.00 g,0.00 g,100g
"Oil, babassu",100 g,884,0.00 g,0.00 g,100g
"Longans, raw",100 g,60,1.31 g,15.14 g,0.1g
"Loquats, raw",100 g,47,0.43 g,12.14 g,0.2g
"Epazote, raw",100 g,32,0.33 g,7.44 g,0.5g
"Pumpkin, raw",100 g,26,1.00 g,6.50 g,0.1g
"Carrots, raw",100 g,41,0.93 g,9.58 g,0.2g
"Fish, surimi",100 g,99,15.18 g,6.85 g,0.9g
"Cabbage, raw",100 g,25,1.28 g,5.80 g,0.1g
"Cardoon, raw",100 g,17,0.70 g,4.07 g,0.1g
"Abiyuch, raw",100 g,69,1.50 g,17.60 g,0.1g
"Bread, wheat",100 g,267,10.72 g,48.68 g,3.2g
"Cheese, edam",100 g,357,24.99 g,1.43 g,28g
"Cheese, feta",100 g,264,14.21 g,4.09 g,21g
"Pummelo, raw",100 g,38,0.76 g,9.62 g,0g
"Quinces, raw",100 g,57,0.40 g,15.30 g,0.1g
Cracker meal,100 g,383,9.30 g,80.90 g,1.7g
"Roselle, raw",100 g,49,0.96 g,11.31 g,0.6g
"Soursop, raw",100 g,66,1.00 g,16.84 g,0.3g
"Oil, coconut",100 g,892,0.00 g,0.00 g,99g
"Wheat, durum",100 g,339,13.68 g,71.13 g,2.5g
"KFC, biscuit",100 g,358,7.50 g,43.55 g,17g
Millet flour,100 g,382,10.75 g,75.12 g,4.3g
"Arugula, raw",100 g,25,2.58 g,3.65 g,0.7g
Potato flour,100 g,357,6.90 g,83.10 g,0.3g
"Litchis, raw",100 g,66,0.83 g,16.53 g,0.4g
"Teff, cooked",100 g,101,3.87 g,19.86 g,0.7g
"Spinach, raw",100 g,23,2.86 g,3.63 g,0.4g
"Oil, mustard",100 g,884,0.00 g,0.00 g,100g
"Oil, avocado",100 g,884,0.00 g,0.00 g,100g
Phyllo dough,100 g,299,7.10 g,52.60 g,6g
"Lentils, raw",100 g,352,24.63 g,63.35 g,1.1g
"Fat, chicken",100 g,900,0.00 g,0.00 g,100g
"Cassava, raw",100 g,160,1.36 g,38.06 g,0.3g
"Turnips, raw",100 g,28,0.90 g,6.43 g,0.1g
"Bananas, raw",100 g,89,1.09 g,22.84 g,0.3g
"Papayas, raw",100 g,43,0.47 g,10.82 g,0.3g
Fruit syrup,100 g,341,0.00 g,85.13 g,0g
"Chives, raw",100 g,30,3.27 g,4.35 g,0.7g
Carob flour,100 g,222,4.62 g,88.88 g,0.7g
Prune puree,100 g,257,2.10 g,65.10 g,0.2g
"Salt, table",100 g,0,0.00 g,0.00 g,0g
Chewing gum,100 g,360,0.00 g,96.70 g,0.3g
"Fat, turkey",100 g,900,0.00 g,0.00 g,100g
"Tofu, fried",100 g,270,18.82 g,8.86 g,20g
"Borage, raw",100 g,21,1.80 g,3.06 g,0.7g
"Mangos, raw",100 g,60,0.82 g,14.98 g,0.4g
"Garlic, raw",100 g,149,6.36 g,33.06 g,0.5g
"Endive, raw",100 g,17,1.25 g,3.35 g,0.2g
Tofu yogurt,100 g,94,3.50 g,15.96 g,1.8g
"Celery, raw",100 g,16,0.69 g,2.97 g,0.2g
"Bagels, egg",100 g,278,10.60 g,53.00 g,2.1g
"Bulgur, dry",100 g,342,12.29 g,75.87 g,1.3g
"Feijoa, raw",100 g,61,0.71 g,15.21 g,0.4g
"Millet, raw",100 g,378,11.02 g,72.85 g,4.2g
"Ham, minced",100 g,263,16.28 g,1.84 g,21g
"Oil, almond",100 g,884,0.00 g,0.00 g,100g
"Oil, walnut",100 g,884,0.00 g,0.00 g,100g
"Jujube, raw",100 g,79,1.20 g,20.23 g,0.2g
"Oil, canola",100 g,884,0.00 g,0.00 g,100g
"Syrup, Cane",100 g,269,0.00 g,73.14 g,0g
"Onions, raw",100 g,40,1.10 g,9.34 g,0.1g
Clif Z bar,100 g,409,5.55 g,74.72 g,9.7g
Fish broth,100 g,16,2.00 g,0.40 g,0.6g
"Fat, goose",100 g,900,0.00 g,0.00 g,100g
"Bread, rye",100 g,259,8.50 g,48.30 g,3.3g
"Eppaw, raw",100 g,150,4.60 g,31.68 g,1.8g
"Limes, raw",100 g,30,0.70 g,10.54 g,0.2g
"Pie, peach",100 g,224,1.90 g,32.90 g,10g
"Pears, raw",100 g,57,0.36 g,15.23 g,0.1g
"Plums, raw",100 g,46,0.70 g,11.42 g,0.3g
"Rowal, raw",100 g,111,2.30 g,23.90 g,2g
"Beets, raw",100 g,43,1.61 g,9.56 g,0.2g
"Bread, egg",100 g,287,9.50 g,47.80 g,6g
Buckwheat,100 g,343,13.25 g,71.50 g,3.4g
"Oil, palm",100 g,884,0.00 g,0.00 g,100g
"Fat, duck",100 g,882,0.00 g,0.00 g,100g
Triticale,100 g,336,13.05 g,72.13 g,2.1g
Rye grain,100 g,338,10.34 g,75.86 g,1.6g
"Dock, raw",100 g,22,2.00 g,3.20 g,0.7g
"Kale, raw",100 g,49,4.28 g,8.75 g,0.9g
"Okra, raw",100 g,33,1.93 g,7.45 g,0.2g
"Taro, raw",100 g,112,1.50 g,26.46 g,0.2g
"Figs, raw",100 g,74,0.75 g,19.18 g,0.3g
"Goat, raw",100 g,109,20.60 g,0.00 g,2.3g
Molasses,100 g,290,0.00 g,74.73 g,0.1g
Zwieback,100 g,426,10.10 g,74.20 g,9.7g
"Yam, raw",100 g,118,1.53 g,27.88 g,0.2g
"Oil, oat",100 g,884,0.00 g,0.00 g,100g
Jellies,100 g,266,0.15 g,69.95 g,0g
Eggnog,100 g,88,4.55 g,8.05 g,4.2g
Catsup,100 g,101,1.04 g,27.40 g,0.1g
Tempeh,100 g,192,20.29 g,7.64 g,11g
Wasabi,100 g,292,2.23 g,46.13 g,11g
Honey,100 g,304,0.30 g,82.40 g,0g
Natto,100 g,211,19.40 g,12.68 g,11g
Okara,100 g,76,3.52 g,12.23 g,1.7g
Papad,100 g,371,25.56 g,59.87 g,3.3g
Lard,100 g,902,0.00 g,0.00 g,100g
Oats,100 g,389,16.89 g,66.27 g,6.9g
Miso,100 g,198,12.79 g,25.37 g,6g
Poi,100 g,112,0.38 g,27.23 g,0.1g
"Spices, dried, oregano",100 g,265,9.00 g,68.92 g,4.3g
"Winged bean leaves, raw",100 g,74,5.85 g,14.10 g,1.1g
"Corn, raw, white, sweet",100 g,86,3.22 g,19.02 g,1.2g
"Wheat flour, whole-grain",100 g,340,13.21 g,71.97 g,2.5g
"CRACKER BARREL, coleslaw",100 g,175,0.89 g,13.01 g,13g
"Fish, raw, king, mackerel",100 g,105,20.28 g,0.00 g,2g
"Cookies, chocolate wafers",100 g,433,6.60 g,72.70 g,14g
"Mushrooms, raw, portabella",100 g,22,2.11 g,3.87 g,0.4g
"Fish, raw, striped, mullet",100 g,117,19.35 g,0.00 g,3.8g
"Egg, poached, cooked, whole",100 g,143,12.51 g,0.71 g,9.5g
"Noodles, chow mein, chinese",100 g,475,8.11 g,72.80 g,15g
"Oil, cold pressed, flaxseed",100 g,884,0.11 g,0.00 g,100g
"Triticale flour, whole-grain",100 g,338,13.18 g,73.14 g,1.8g
"Cheese, queso anejo, mexican",100 g,373,21.44 g,4.63 g,30g
"Smelt, dried (Alaska Native)",100 g,386,56.19 g,0.00 g,18g
"Lamb, broiled, cooked, ground",100 g,283,24.75 g,0.00 g,20g
"Tofu, dried-frozen (koyadofu)",100 g,477,52.47 g,10.03 g,30g
Poultry salad sandwich spread,100 g,200,11.64 g,7.41 g,14g
"Salami, beef and pork, cooked",100 g,336,21.85 g,2.40 g,26g
"Rice flour, unenriched, white",100 g,366,5.95 g,80.13 g,1.4g
"Yogurt, nonfat, fruit variety",100 g,95,4.40 g,19.00 g,0.2g
"Babyfood, vegetable, crackers",100 g,477,8.40 g,66.85 g,20g
"Babyfood, fruit, baby, cookie",100 g,435,6.80 g,73.70 g,13g
"Chicken, raw, giblets, capons",100 g,130,18.28 g,1.42 g,5.2g
"Fish, raw, mixed species, roe",100 g,143,22.32 g,1.50 g,6.4g
"Fish, smoked, chinook, salmon",100 g,117,18.28 g,0.00 g,4.3g
HOUSE FOODS Premium Firm Tofu,100 g,85,10.92 g,0.97 g,4.2g
"Crackers, whole grain, cheese",100 g,412,9.62 g,57.29 g,16g
"Seeds, high-fat, sesame flour",100 g,526,30.78 g,26.62 g,37g
"Peppers, canned, green, chili",100 g,21,0.72 g,4.60 g,0.3g
"Egg, raw, fresh, whole, quail",100 g,158,13.05 g,0.41 g,11g
"Pumpkin, without salt, canned",100 g,34,1.10 g,8.09 g,0.3g
"Dove, cooked (includes squab)",100 g,213,23.90 g,0.00 g,13g
"Beverages, orange, carbonated",100 g,48,0.00 g,12.30 g,0g
"Kefir, LIFEWAY, plain, lowfat",100 g,41,3.79 g,4.48 g,0.9g
"Candies, ALMOND JOY Candy Bar",100 g,479,4.13 g,59.51 g,27g
"Cheese substitute, mozzarella",100 g,248,11.47 g,23.67 g,12g
"Crustaceans, raw, queen, crab",100 g,90,18.50 g,0.00 g,1.2g
"Wheat, cooked, KAMUT khorasan",100 g,132,5.71 g,27.60 g,0.8g
"Sauce, ready-to-serve, hoisin",100 g,220,3.31 g,44.08 g,3.4g
"Sauce, ready-to-serve, oyster",100 g,51,1.35 g,10.92 g,0.3g
"Noodles, dry, somen, japanese",100 g,356,11.35 g,74.10 g,0.8g
"Crackers, reduced fat, cheese",100 g,418,10.00 g,68.19 g,12g
"Cookies, reduced fat, oatmeal",100 g,365,4.02 g,64.62 g,10g
"Cranberries, sweetened, dried",100 g,308,0.17 g,82.80 g,1.1g
"Cheese, queso cotija, mexican",100 g,366,20.00 g,3.97 g,30g
"Rolls, hard (includes kaiser)",100 g,293,9.90 g,52.70 g,4.3g
"Ostrich, cooked, inside strip",100 g,164,29.37 g,0.00 g,4.3g
"SILK Light Chocolate, soymilk",100 g,49,2.06 g,9.05 g,0.6g
"Candies, sugar-coated almonds",100 g,474,10.00 g,68.26 g,18g
"KELLOGG'S, Corn Flakes Crumbs",100 g,367,7.50 g,84.40 g,0.4g
"Cheese, queso seco, dry white",100 g,325,24.51 g,2.04 g,24g
"Fish, raw, wild, coho, salmon",100 g,146,21.62 g,0.00 g,5.9g
"Beets, drained solids, canned",100 g,31,0.91 g,7.21 g,0.1g
"Beef, reduced sodium, bologna",100 g,310,11.70 g,2.00 g,28g
"Fast foods, hot fudge, sundae",100 g,180,3.57 g,30.17 g,5.5g
"KEEBLER, Iced Oatmeal Cookies",100 g,467,6.50 g,69.50 g,18g
"Ice creams, fat free, vanilla",100 g,138,4.48 g,30.06 g,0g
"Turkey Pot Pie, frozen entree",100 g,176,6.50 g,17.70 g,8.8g
"Peanut butter, reduced sodium",100 g,590,24.00 g,21.83 g,50g
"Oil, salad or cooking, peanut",100 g,884,0.00 g,0.00 g,100g
"Turkey, raw, meat only, whole",100 g,112,22.64 g,0.14 g,1.9g
"Syrups, fudge-type, chocolate",100 g,350,4.60 g,62.90 g,8.9g
"Corn, steamed (Navajo), white",100 g,386,9.72 g,75.20 g,5.2g
"Fish, raw, mixed species, eel",100 g,184,18.44 g,0.00 g,12g
"Spices, dried, coriander leaf",100 g,279,21.93 g,52.10 g,4.8g
"Popovers, unenriched, dry mix",100 g,371,10.40 g,71.00 g,4.3g
"Lemon grass (citronella), raw",100 g,99,1.82 g,25.31 g,0.5g
"Candies, with almonds, nougat",100 g,398,3.33 g,92.39 g,1.7g
"Fish, raw, Atlantic, mackerel",100 g,205,18.60 g,0.00 g,14g
"Candies, REESE'S PIECES Candy",100 g,497,12.46 g,59.86 g,25g
"Sauce, ready-to-serve, cheese",100 g,174,6.71 g,6.83 g,13g
"Noodles, unenriched, dry, egg",100 g,384,14.16 g,71.27 g,4.4g
"Egg, scrambled, cooked, whole",100 g,149,9.99 g,1.61 g,11g
"Egg, raw, fresh, whole, goose",100 g,185,13.87 g,1.35 g,13g
"Jujube, dried, fresh, Chinese",100 g,281,4.72 g,72.52 g,0.5g
"GIRL SCOUTS, Trefoils Cookies",100 g,498,5.70 g,68.00 g,23g
"Quail, raw, meat only, breast",100 g,123,22.59 g,0.00 g,3g
"Blueberries, sweetened, dried",100 g,317,2.50 g,80.00 g,2.5g
"McDONALD'S, Hot Mustard Sauce",100 g,190,2.60 g,29.08 g,7.3g
"Candies, PAYDAY Bar, HERSHEYS",100 g,490,13.44 g,52.88 g,25g
"Sauce, ready-to-serve, tartar",100 g,211,1.00 g,13.30 g,17g
Pulled pork in barbecue sauce,100 g,168,13.19 g,18.74 g,4.4g
"Sauce, thick, white, homemade",100 g,186,3.99 g,11.61 g,14g
"Veal, broiled, cooked, ground",100 g,172,24.38 g,0.00 g,7.6g
"Bison, raw, grass-fed, ground",100 g,146,20.23 g,0.05 g,7.2g
"Bread, bollilo, Mexican, roll",100 g,318,10.65 g,55.77 g,5.8g
"McDONALD'S, Chicken McNUGGETS",100 g,302,15.79 g,15.09 g,20g
"Currants, raw, european black",100 g,63,1.40 g,15.38 g,0.4g
"Pineapple, all varieties, raw",100 g,50,0.54 g,13.12 g,0.1g
"Fish, raw, Atlantic, wolffish",100 g,96,17.50 g,0.00 g,2.4g
"Cereals ready-to-eat, FAMILIA",100 g,388,9.50 g,73.80 g,6.3g
"Leavening agents, baking soda",100 g,0,0.00 g,0.00 g,0g
"Asparagus, unprepared, frozen",100 g,24,3.23 g,4.10 g,0.2g
"English muffins, whole-wheat",100 g,203,8.80 g,40.40 g,2.1g
"Ice creams, light, chocolate",100 g,187,5.00 g,25.70 g,7.2g
"Crackers, wheat, melba toast",100 g,374,12.90 g,76.40 g,2.3g
"Crackers, plain, melba toast",100 g,390,12.10 g,76.60 g,3.2g
"Crackers, plain, wafers, rye",100 g,334,9.60 g,80.40 g,0.9g
"Apples, with skin, gala, raw",100 g,57,0.25 g,13.68 g,0.1g
"Fish, dry heat, cooked, ling",100 g,111,24.35 g,0.00 g,0.8g
"Fish, dry heat, cooked, cusk",100 g,112,24.35 g,0.00 g,0.9g
"Peanut spread, reduced sugar",100 g,650,24.80 g,14.23 g,55g
"Beerwurst, pork, beer salami",100 g,238,14.24 g,2.06 g,19g
"Babyfood, junior, beef, meat",100 g,81,12.03 g,2.43 g,2.5g
"Peppers, sauteed, red, sweet",100 g,133,1.04 g,6.57 g,13g
"Tree fern, with salt, cooked",100 g,40,0.29 g,10.78 g,0.1g
"Pheasant, meat and skin, raw",100 g,181,22.70 g,0.00 g,9.3g
"Oil, salad or cooking, olive",100 g,884,0.00 g,0.00 g,100g
"Squash, raw, hubbard, winter",100 g,40,2.00 g,8.70 g,0.5g
"Rambutan, syrup pack, canned",100 g,82,0.65 g,20.87 g,0.2g
"Fish, raw, Atlantic, herring",100 g,158,17.96 g,0.00 g,9g
"Bologna, beef, pork, chicken",100 g,272,11.33 g,5.61 g,23g
"DENNY'S, golden fried shrimp",100 g,319,13.88 g,20.93 g,20g
"McDONALD'S, Hot Fudge Sundae",100 g,186,4.14 g,30.05 g,5.9g
"Fish, raw, spanish, mackerel",100 g,139,19.29 g,0.00 g,6.3g
"PEPPERIDGE FARM, White Bread",100 g,280,0.01 g,50.20 g,5.1g
"Crackers, low sodium, cheese",100 g,503,10.10 g,58.20 g,25g
"USDA Commodity, canned, pork",100 g,196,19.40 g,0.59 g,13g
Orange Pineapple Juice Blend,100 g,51,0.41 g,12.20 g,0.1g
"Beverages, hard cider, AMBER",100 g,56,0.00 g,5.92 g,0g
"Babyfood, apple-banana juice",100 g,51,0.20 g,12.30 g,0.1g
"Spices, ground, mustard seed",100 g,508,26.08 g,28.09 g,36g
"ON THE BORDER, refried beans",100 g,144,7.30 g,17.52 g,5g
"Cornmeal, white, whole-grain",100 g,362,8.12 g,76.89 g,3.6g
"Ground turkey, raw, fat free",100 g,112,23.57 g,0.00 g,2g
"Kanpyo, (dried gourd strips)",100 g,258,8.58 g,65.03 g,0.6g
"Pancakes, reduced fat, plain",100 g,269,5.71 g,57.32 g,1.9g
"Tennis Bread, plain (Apache)",100 g,258,9.00 g,53.26 g,1.1g
"USDA Commodity, canned, beef",100 g,246,20.52 g,0.00 g,18g
"Cockles, raw (Alaska Native)",100 g,79,13.50 g,4.70 g,0.7g
"Yogurt, lowfat, plain, Greek",100 g,73,9.95 g,3.94 g,1.9g
"Apples, with skin, fuji, raw",100 g,63,0.20 g,15.22 g,0.2g
"Cheese, low sodium, parmesan",100 g,451,41.60 g,3.70 g,30g
"Peppers, canned, hot pickled",100 g,22,0.80 g,4.56 g,0.4g
"McDONALD'S, Hotcakes (plain)",100 g,228,6.00 g,38.27 g,5.8g
"Lettuce, raw, cos or romaine",100 g,17,1.23 g,3.29 g,0.3g
"MURRAY, JACKS Vanilla Wafers",100 g,438,4.80 g,78.10 g,12g
